"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ADAMDEC1",525.59805715962,6.81100108859801,0.475029074491848,14.3380720346095,1.26521644782815e-46,5.01321998204311e-45
"PROK2",34.0788028658282,6.80929254353367,0.579903467836436,11.7421138537738,7.75242033102282e-32,1.08516551106469e-30
"PNOC",50.8468820400548,6.75420725651936,0.660573358221333,10.2247648538321,1.53600278891433e-24,1.3021185457005e-23
"MZB1",1091.4606232479,6.73455185260465,0.569232085917041,11.8309421046693,2.70093163654313e-32,3.90061880290156e-31
"HBG1",70.8434862105506,6.70290341644057,0.704989597362154,9.50780471303505,1.94728412273272e-21,1.33307515039565e-20
"MYBPC1",101.850339463452,6.66118263143167,1.31711133693469,5.05741803645409,4.24970983406973e-07,1.06230019629441e-06
"CXCL13",396.222409794827,6.51812548018257,0.571249600552614,11.4102932831412,3.71474692124673e-30,4.62349365814416e-29
"KRT23",23.3855634736115,6.47319530781823,0.608431808685406,10.6391467628959,1.95915132681401e-26,1.87614024956315e-25
"HBD",26.1151476035739,6.42447952585226,0.624949640822513,10.2799955487563,8.67316070826435e-25,7.46368695726309e-24
"C15orf48",253.875615769829,6.3773563839618,0.462249641160633,13.7963468569695,2.6809843257006e-43,8.22278133111e-42
"MMP13",238.720124762053,6.3761126033659,0.532344417584263,11.9774198671984,4.66620925725298e-33,7.0818916497048e-32
"EMR3",47.5213549318646,6.30793140253504,0.532316875315777,11.8499557219431,2.15304541584752e-32,3.13286248132792e-31
"MYL2",16.2104530366451,6.28592778318677,1.26922334300251,4.95257813988559,7.32366323428091e-07,1.79644602520191e-06
"ANKRD22",75.6409136358448,6.28456207074627,0.562637198504824,11.1698303763902,5.72901795227562e-29,6.50344821218885e-28
"CXCL5",56.0949230714421,6.27590328929798,0.540356677599697,11.614371672385,3.48339696339794e-31,4.66976588637105e-30
"CXCR1",130.641658767247,6.26033890302543,0.469782309147282,13.3260422564417,1.63335645390211e-40,4.04175022911233e-39
"AQP9",630.430806811643,6.13314989497572,0.349663892658078,17.5401293177648,7.07661777896403e-69,1.56825364974174e-66
"FLJ00385",10773.836579875,6.09025523936021,0.561537117367291,10.8456859769373,2.09061614120352e-27,2.13599385589631e-26
"ANKRD36BP2",938.851235642113,6.07651349932896,0.38981856558378,15.5880556643806,8.77643399376975e-55,6.29740573272155e-53
"IGLL5",9842.62976424048,5.88228799844407,0.546576825850107,10.7620515913663,5.19994292098625e-27,5.20659618661886e-26
"IGHE",57.0603276529158,5.86930105645241,0.718111484220408,8.17324494235627,3.00203626459348e-16,1.43058025000856e-15
"APOBEC3A",124.79654276406,5.866651936319,0.488142022593589,12.0183300449086,2.84666417445565e-33,4.37338431022812e-32
